,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,FIPS,gop_2000_votes,dem_2000_votes,totalvotes_2000,gop_2000_prc,dem_2000_prc,gop_minus_dem_prc_2000,gop_2004_votes,dem_2004_votes,totalvotes_2004,gop_2004_prc,dem_2004_prc,gop_minus_dem_prc_2004,gop_2008_votes,dem_2008_votes,totalvotes_2008,gop_2008_prc,dem_2008_prc,gop_minus_dem_prc_2008,gop_2012_votes,dem_2012_votes,totalvotes_2012,gop_2012_prc,dem_2012_prc,gop_minus_dem_prc_2012,gop_2016_votes,dem_2016_votes,totalvotes_2016,gop_2016_prc,dem_2016_prc,gop_minus_dem_prc_2016
0,39,131,01074078,0500000US39131,39131,Pike,06,1140324458,9567612,39131,5333.0,4923.0,10560.0,50.5,46.62,3.88,6519.0,5989.0,12575.0,51.84,47.63,4.21,6162.0,6033.0,12506.0,49.27,48.24,1.03,5685.0,5684.0,11581.0,49.09,49.08,0.01,7902.0,3539.0,11879.0,66.52,29.79,36.73
1,46,003,01266983,0500000US46003,46003,Aurora,06,1834813753,11201379,46003,847.0,513.0,1413.0,59.94,36.31,23.63,1009.0,620.0,1649.0,61.19,37.6,23.59,794.0,655.0,1468.0,54.09,44.62,9.47,804.0,556.0,1400.0,57.43,39.71,17.72,974.0,340.0,1407.0,69.23,24.16,45.07
2,55,035,01581077,0500000US55035,55035,Eau Claire,06,1652211310,18848512,55035,20921.0,24078.0,47875.0,43.7,50.29,-6.59,24653.0,30068.0,55437.0,44.47,54.24,-9.77,20959.0,33146.0,55010.0,38.1,60.25,-22.15,23256.0,30666.0,54806.0,42.43,55.95,-13.52,23311.0,27294.0,54885.0,42.47,49.73,-7.26
3,72,145,01804553,0500000US72145,72145,Vega Baja,13,118766803,57805868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,48,259,01383915,0500000US48259,48259,Kendall,06,1715747531,1496797,48259,8788.0,1901.0,11073.0,79.36,17.17,62.19,11434.0,2532.0,14072.0,81.25,17.99,63.26,12971.0,3599.0,16746.0,77.46,21.49,55.97,14508.0,3043.0,17783.0,81.58,17.11,64.47,15700.0,3643.0,20120.0,78.03,18.11,59.92
5,40,015,01101795,0500000US40015,40015,Caddo,06,3310745124,30820525,40015,4835.0,4272.0,9210.0,52.5,46.38,6.12,6491.0,3916.0,10407.0,62.37,37.63,24.74,6413.0,3404.0,9817.0,65.33,34.67,30.66,5687.0,3164.0,8851.0,64.25,35.75,28.5,6482.0,2420.0,9348.0,69.34,25.89,43.45
6,19,093,00465235,0500000US19093,19093,Ida,06,1117599859,1406461,19093,1968.0,1411.0,3491.0,56.37,40.42,15.95,2342.0,1415.0,3774.0,62.06,37.49,24.57,2036.0,1454.0,3547.0,57.4,40.99,16.41,2286.0,1321.0,3663.0,62.41,36.06,26.35,2655.0,792.0,3612.0,73.5,21.93,51.57
7,28,071,00695759,0500000US28071,28071,Lafayette,06,1636141755,123052156,28071,7081.0,5139.0,12678.0,55.85,40.53,15.32,9004.0,6218.0,15388.0,58.51,40.41,18.1,10278.0,7997.0,18396.0,55.87,43.47,12.4,11075.0,8091.0,19505.0,56.78,41.48,15.3,10872.0,7969.0,19643.0,55.35,40.57,14.78
8,12,027,00294452,0500000US12027,12027,DeSoto,06,1649978040,6247257,12027,4256.0,3320.0,7817.0,54.45,42.47,11.98,5524.0,3913.0,9510.0,58.09,41.15,16.94,5632.0,4383.0,10131.0,55.59,43.26,12.33,5587.0,4174.0,9865.0,56.63,42.31,14.32,6778.0,3781.0,10818.0,62.65,34.95,27.7
9,31,137,00835890,0500000US31137,31137,Phelps,06,1398048574,1646534,31137,3575.0,934.0,4627.0,77.26,20.19,57.07,3872.0,830.0,4743.0,81.64,17.5,64.14,3360.0,1050.0,4473.0,75.12,23.47,51.65,3400.0,880.0,4380.0,77.63,20.09,57.54,3849.0,572.0,4695.0,81.98,12.18,69.8
10,26,143,01623014,0500000US26143,26143,Roscommon,06,1345852870,156421369,26143,6190.0,6433.0,12928.0,47.88,49.76,-1.88,7364.0,6810.0,14359.0,51.28,47.43,3.85,6727.0,7082.0,14051.0,47.88,50.4,-2.52,6701.0,6198.0,13032.0,51.42,47.56,3.86,8141.0,4287.0,13041.0,62.43,32.87,29.56
11,16,075,00394896,0500000US16075,16075,Payette,06,1053857317,8870732,16075,4961.0,1643.0,6858.0,72.34,23.96,48.38,6256.0,1848.0,8180.0,76.48,22.59,53.89,5988.0,2415.0,8613.0,69.52,28.04,41.48,6004.0,2271.0,8495.0,70.68,26.73,43.95,6489.0,1507.0,8704.0,74.55,17.31,57.24
12,45,083,01248592,0500000US45083,45083,Spartanburg,06,2092597504,29211230,45083,52114.0,29559.0,83553.0,62.37,35.38,26.99,62004.0,33633.0,96758.0,64.08,34.76,29.32,65042.0,41632.0,108328.0,60.04,38.43,21.61,66969.0,41461.0,109906.0,60.93,37.72,23.21,76277.0,39997.0,121090.0,62.99,33.03,29.96
13,36,009,00974103,0500000US36009,36009,Cattaraugus,06,3388637061,36604688,36009,18382.0,13697.0,33733.0,54.49,40.6,13.89,19028.0,13087.0,34262.0,55.54,38.2,17.34,17770.0,14307.0,32588.0,54.53,43.9,10.63,14655.0,12040.0,29767.0,49.23,40.45,8.78,19692.0,9497.0,31161.0,63.19,30.48,32.71
14,18,037,00451675,0500000US18037,18037,Dubois,06,1106624776,20884565,18037,10134.0,5090.0,15504.0,65.36,32.83,32.53,11726.0,5210.0,17066.0,68.71,30.53,38.18,9526.0,8748.0,18565.0,51.31,47.12,4.19,11654.0,6522.0,18542.0,62.85,35.17,27.68,13365.0,5389.0,19984.0,66.88,26.97,39.91
15,19,147,00465262,0500000US19147,19147,Palo Alto,06,1460391660,14437623,19147,2341.0,2326.0,4823.0,48.54,48.23,0.31,2674.0,2482.0,5191.0,51.51,47.81,3.7,2294.0,2428.0,4806.0,47.73,50.52,-2.79,2660.0,2139.0,4887.0,54.43,43.77,10.66,3081.0,1398.0,4703.0,65.51,29.73,35.78
16,20,207,00485064,0500000US20207,20207,Woodson,06,1289347405,19251488,20207,974.0,521.0,1595.0,61.07,32.66,28.41,1204.0,530.0,1763.0,68.29,30.06,38.23,1055.0,512.0,1599.0,65.98,32.02,33.96,1035.0,380.0,1447.0,71.53,26.26,45.27,1082.0,273.0,1443.0,74.98,18.92,56.06
17,26,025,01622955,0500000US26025,26025,Calhoun,06,1829249870,31275675,26025,26291.0,27312.0,55080.0,47.73,49.59,-1.86,32093.0,29891.0,62667.0,51.21,47.7,3.51,28553.0,34561.0,64196.0,44.48,53.84,-9.36,28333.0,29267.0,58327.0,48.58,50.18,-1.6,31494.0,24157.0,58902.0,53.47,41.01,12.46
